Name,Gene id,Up region,Down region,Inserted sequence,Manipulation type
b0281_del,b0281,0,0,-,deletion
b0282_del,b0282,0,0,-,deletion
b0283_del,b0283,0,0,-,deletion
b0284_del,b0284,0,0,-,deletion
b0285_del,b0285,0,0,-,deletion
b0286_del,b0286,0,0,-,deletion
b0287_del,b0287,0,0,-,deletion
b0288_del,b0288,0,0,-,deletion
b0289_del,b0289,0,0,-,deletion
b0290_del,b0290,0,0,-,deletion
b0291_del,b0291,0,0,-,deletion
b0292_del,b0292,0,0,-,deletion
b0293_del,b0293,0,0,-,deletion
b0294_del,b0294,0,0,-,deletion
b0295_del,b0295,0,0,-,deletion
b4506_del,b4506,0,0,-,deletion
b0296_del,b0296,0,0,-,deletion
b4671_del,b4671,0,0,-,deletion
b4630_del,b4630,0,0,-,deletion
b0297_del,b0297,0,0,-,deletion
b0298_del,b0298,0,0,-,deletion
b0299_del,b0299,0,0,-,deletion
b0300_del,b0300,0,0,-,deletion
b4631_del,b4631,0,0,-,deletion
b0301_del,b0301,0,0,-,deletion
b0303_del,b0303,0,0,-,deletion
b0304_del,b0304,0,0,-,deletion
b0305_del,b0305,0,0,-,deletion
b0306_del,b0306,0,0,-,deletion
b0307_del,b0307,0,0,-,deletion
b0308_del,b0308,0,0,-,deletion
b0310_del,b0310,0,0,-,deletion
b0311_del,b0311,0,0,-,deletion
b0312_del,b0312,0,0,-,deletion
b0313_del,b0313,0,0,-,deletion
b0314_del,b0314,0,0,-,deletion
b4730_del,b4730,0,0,-,deletion
b0315_del,b0315,0,0,-,deletion
b0316_del,b0316,0,0,-,deletion
b0317_del,b0317,0,0,-,deletion
b0318_del,b0318,0,0,-,deletion
b0319_del,b0319,0,0,-,deletion
b0320_del,b0320,0,0,-,deletion
b0321_del,b0321,0,0,-,deletion
b0322_del,b0322,0,0,-,deletion
b0323_del,b0323,0,0,-,deletion
b0324_del,b0324,0,0,-,deletion
b0325_del,b0325,0,0,-,deletion
b0326_del,b0326,0,0,-,deletion
b0327_del,b0327,0,0,-,deletion
b0328_del,b0328,0,0,-,deletion
b0329_del,b0329,0,0,-,deletion
b0330_del,b0330,0,0,-,deletion
b0331_del,b0331,0,0,-,deletion
b0333_del,b0333,0,0,-,deletion
b0334_del,b0334,0,0,-,deletion
b0335_del,b0335,0,0,-,deletion
b0336_del,b0336,0,0,-,deletion
b0337_del,b0337,0,0,-,deletion
b0338_del,b0338,0,0,-,deletion
b0339_del,b0339,0,0,-,deletion
b0340_del,b0340,0,0,-,deletion
b0341_del,b0341,0,0,-,deletion
b0342_del,b0342,0,0,-,deletion
b0343_del,b0343,0,0,-,deletion
b0344_del,b0344,0,0,-,deletion
b0345_del,b0345,0,0,-,deletion
b0346_del,b0346,0,0,-,deletion
b0347_del,b0347,0,0,-,deletion
b0348_del,b0348,0,0,-,deletion
b0349_del,b0349,0,0,-,deletion
b0350_del,b0350,0,0,-,deletion
b0351_del,b0351,0,0,-,deletion
b0352_del,b0352,0,0,-,deletion
b0353_del,b0353,0,0,-,deletion
b0354_del,b0354,0,0,-,deletion
b0355_del,b0355,0,0,-,deletion
b0356_del,b0356,0,0,-,deletion
b0357_del,b0357,0,0,-,deletion
b0358_del,b0358,0,0,-,deletion
b4579_del,b4579,0,0,-,deletion
b0360_del,b0360,0,0,-,deletion
b0361_del,b0361,0,0,-,deletion
b0363_del,b0363,0,0,-,deletion
b4731_del,b4731,0,0,-,deletion
b0364_del,b0364,0,0,-,deletion
b0365_del,b0365,0,0,-,deletion
b0366_del,b0366,0,0,-,deletion
b0367_del,b0367,0,0,-,deletion
b0368_del,b0368,0,0,-,deletion
b0369_del,b0369,0,0,-,deletion
b4580_del,b4580,0,0,-,deletion
b0372_del,b0372,0,0,-,deletion
b0373_del,b0373,0,0,-,deletion
b0375_del,b0375,0,0,-,deletion
b0376_del,b0376,0,0,-,deletion
b0377_del,b0377,0,0,-,deletion
b0378_del,b0378,0,0,-,deletion
b0379_del,b0379,0,0,-,deletion
b0380_del,b0380,0,0,-,deletion
b0381_del,b0381,0,0,-,deletion
b0382_del,b0382,0,0,-,deletion
b0383_del,b0383,0,0,-,deletion
b0384_del,b0384,0,0,-,deletion
b0385_del,b0385,0,0,-,deletion
b0386_del,b0386,0,0,-,deletion
b0387_del,b0387,0,0,-,deletion
b0388_del,b0388,0,0,-,deletion
b0389_del,b0389,0,0,-,deletion
b0390_del,b0390,0,0,-,deletion
b0391_del,b0391,0,0,-,deletion
b0392_del,b0392,0,0,-,deletion
b4732_del,b4732,0,0,-,deletion
b0393_del,b0393,0,0,-,deletion
b0394_del,b0394,0,0,-,deletion
b0396_del,b0396,0,0,-,deletion
b0397_del,b0397,0,0,-,deletion
b0398_del,b0398,0,0,-,deletion
b0399_del,b0399,0,0,-,deletion
b0400_del,b0400,0,0,-,deletion
b0401_del,b0401,0,0,-,deletion
b0402_del,b0402,0,0,-,deletion
b0403_del,b0403,0,0,-,deletion
b0404_del,b0404,0,0,-,deletion
b0405_del,b0405,0,0,-,deletion
b0406_del,b0406,0,0,-,deletion
b0407_del,b0407,0,0,-,deletion
b0408_del,b0408,0,0,-,deletion
b0409_del,b0409,0,0,-,deletion
b0410_del,b0410,0,0,-,deletion
b0411_del,b0411,0,0,-,deletion
b0412_del,b0412,0,0,-,deletion
