,strain,design target,B:time,B:mean time,A:time,A:mean time,B:off target numbers,B mean:off target numbers,A:time - B:time
52,Corynebacterium_glutamicum,50-3,281.78371357917786,283.5345669746399,398.1696939468384,362.65721383094785,2.0,2.0,116.38598036766052
53,Corynebacterium_glutamicum,50-4,287.1576085090637,283.5345669746399,326.9576885700226,362.65721383094785,3.0,2.0,39.80008006095886
54,Corynebacterium_glutamicum,50-1,289.6596300601959,283.5345669746399,309.7829661369324,362.65721383094785,0.0,2.0,20.12333607673645
55,Corynebacterium_glutamicum,100-5,584.9645154476166,598.1472267627717,641.7424666881561,845.2644065856933,2.0,4.4,56.77795124053955
56,Corynebacterium_glutamicum,100-1,591.2508749961853,598.1472267627717,775.5601215362549,845.2644065856933,7.0,4.4,184.30924654006958
57,Corynebacterium_glutamicum,100-2,597.916393995285,598.1472267627717,743.5501372814178,845.2644065856933,3.0,4.4,145.6337432861328
58,Corynebacterium_glutamicum,100-3,601.1673364639282,598.1472267627717,1046.4976832866669,845.2644065856933,4.0,4.4,445.33034682273865
59,Corynebacterium_glutamicum,100-4,615.4370129108429,598.1472267627717,1018.9716241359712,845.2644065856933,6.0,4.4,403.5346112251283
60,Corynebacterium_glutamicum,150-3,969.9926965236664,957.6645771026612,1576.732633113861,1496.0319731235504,6.0,7.0,606.7399365901947
61,Corynebacterium_glutamicum,150-5,962.081297159195,957.6645771026612,1450.708226442337,1496.0319731235504,11.0,7.0,488.6269292831421
62,Corynebacterium_glutamicum,150-1,949.9136703014374,957.6645771026612,1794.7506930828094,1496.0319731235504,7.0,7.0,844.8370227813721
63,Corynebacterium_glutamicum,150-4,953.1659607887268,957.6645771026612,1276.68217587471,1496.0319731235504,0.0,7.0,323.5162150859833
64,Corynebacterium_glutamicum,150-2,953.1692607402802,957.6645771026612,1381.2861371040344,1496.0319731235504,4.0,7.0,428.1168763637543
65,Corynebacterium_glutamicum,200-4,1294.922773361206,1315.0645372390748,1956.19615149498,2130.3402057647704,2.0,9.4,661.273378133774
66,Corynebacterium_glutamicum,200-5,1307.402922153473,1315.0645372390748,1974.499485254288,2130.3402057647704,11.0,9.4,667.096563100815
67,Corynebacterium_glutamicum,200-3,1315.2204813957214,1315.0645372390748,2495.473738670349,2130.3402057647704,13.0,9.4,1180.2532572746277
68,Corynebacterium_glutamicum,200-1,1317.8920946121216,1315.0645372390748,2223.3070108890533,2130.3402057647704,8.0,9.4,905.4149162769318
69,Corynebacterium_glutamicum,200-2,1339.8844146728516,1315.0645372390748,2002.2246425151825,2130.3402057647704,13.0,9.4,662.3402278423309
70,Corynebacterium_glutamicum,250-1,1718.7407455444336,1720.1462376117706,2357.959448575973,2440.9269921779633,3.0,7.2,639.2187030315395
71,Corynebacterium_glutamicum,250-2,1718.491572141647,1720.1462376117706,2463.2361261844635,2440.9269921779633,9.0,7.2,744.7445540428164
72,Corynebacterium_glutamicum,250-5,1764.9856712818146,1720.1462376117706,2457.668377161026,2440.9269921779633,10.0,7.2,692.6827058792114
73,Corynebacterium_glutamicum,250-4,1685.3668138980863,1720.1462376117706,2335.7935271263123,2440.9269921779633,6.0,7.2,650.4267132282259
