,strain,design target,B:time,B:mean time,A:time,A:mean time
68,Corynebacterium_glutamicum,200-1,1317.8920946121216,1315.0645372390748,2223.3070108890533,2130.3402057647704
69,Corynebacterium_glutamicum,200-2,1339.8844146728516,1315.0645372390748,2002.2246425151825,2130.3402057647704
70,Corynebacterium_glutamicum,250-1,1718.7407455444336,1720.1462376117706,2357.959448575973,2440.9269921779633
71,Corynebacterium_glutamicum,250-2,1718.491572141647,1720.1462376117706,2463.2361261844635,2440.9269921779633
72,Corynebacterium_glutamicum,250-5,1764.9856712818146,1720.1462376117706,2457.668377161026,2440.9269921779633
73,Corynebacterium_glutamicum,250-4,1685.3668138980863,1720.1462376117706,2335.7935271263123,2440.9269921779633
74,Corynebacterium_glutamicum,250-3,1713.146385192871,1720.1462376117706,2589.977481842041,2440.9269921779633
75,Corynebacterium_glutamicum,300-1,2234.326999902725,2249.199260187149,2706.4508361816406,2721.6428028583528
76,Corynebacterium_glutamicum,300-2,2239.425971508026,2249.199260187149,2668.53760099411,2721.6428028583528
77,Corynebacterium_glutamicum,300-4,2239.624603748321,2249.199260187149,2670.847000837326,2721.6428028583528
78,Corynebacterium_glutamicum,300-3,2249.2643461227417,2249.199260187149,2744.626373529434,2721.6428028583528
79,Corynebacterium_glutamicum,300-5,2283.3543796539307,2249.199260187149,2817.7522027492523,2721.6428028583528
80,Corynebacterium_glutamicum,350-1,2523.266558647156,2535.5893785476683,2970.8036937713623,3001.1658812522887
81,Corynebacterium_glutamicum,350-2,2526.706464290619,2535.5893785476683,3210.031498193741,3001.1658812522887
82,Corynebacterium_glutamicum,350-5,2529.550192594528,2535.5893785476683,2968.92085814476,3001.1658812522887
83,Corynebacterium_glutamicum,350-4,2540.68599152565,2535.5893785476683,2906.7800102233887,3001.1658812522887
84,Corynebacterium_glutamicum,350-3,2557.7376856803894,2535.5893785476683,2949.293345928192,3001.1658812522887
85,Corynebacterium_glutamicum,400-1,2795.3089883327484,2786.9492650985717,3115.3439478874207,3132.3623181819917
86,Corynebacterium_glutamicum,400-3,2787.756587266922,2786.9492650985717,3164.6438403129578,3132.3623181819917
87,Corynebacterium_glutamicum,400-5,2787.186187028885,2786.9492650985717,3087.9195835590363,3132.3623181819917
88,Corynebacterium_glutamicum,400-2,2777.305356502533,2786.9492650985717,3118.119107723236,3132.3623181819917
89,Corynebacterium_glutamicum,400-4,2787.18920636177,2786.9492650985717,3175.785111427307,3132.3623181819917
90,Corynebacterium_glutamicum,450-1,2983.0668659210205,2992.655366849899,3302.7626056671143,3409.9018099308014
91,Corynebacterium_glutamicum,450-4,2988.689537525177,2992.655366849899,3441.89879822731,3409.9018099308014
92,Corynebacterium_glutamicum,450-5,2993.828378200531,2992.655366849899,3533.910689592361,3409.9018099308014
93,Corynebacterium_glutamicum,450-3,2994.4331362247467,2992.655366849899,3271.904404401779,3409.9018099308014
94,Corynebacterium_glutamicum,450-2,3003.258916378021,2992.655366849899,3499.032551765442,3409.9018099308014
95,Corynebacterium_glutamicum,500-2,3217.608541250229,3204.8154933452606,3585.793971538544,3588.868669462204
96,Corynebacterium_glutamicum,500-3,3185.200594186783,3204.8154933452606,3651.7351500988007,3588.868669462204
97,Corynebacterium_glutamicum,500-4,3198.95524930954,3204.8154933452606,3542.3695724010468,3588.868669462204
98,Corynebacterium_glutamicum,500-5,3199.376259803772,3204.8154933452606,3544.3609907627106,3588.868669462204
99,Corynebacterium_glutamicum,500-1,3222.93682217598,3204.8154933452606,3620.083662509918,3588.868669462204
100,Escherichia_coli,50-1,266.63257813453674,282.92464752197264,468.1158475875855,423.56966347694396
101,Escherichia_coli,50-3,274.80502367019653,282.92464752197264,375.2263352870941,423.56966347694396
102,Escherichia_coli,50-2,285.77886962890625,282.92464752197264,395.98177695274353,423.56966347694396
103,Escherichia_coli,50-4,291.12960386276245,282.92464752197264,384.3554358482361,423.56966347694396
104,Escherichia_coli,50-5,296.2771623134613,282.92464752197264,494.1689217090607,423.56966347694396
105,Escherichia_coli,100-5,630.9160482883453,644.8674717903137,853.1142213344574,868.6026207447052
106,Escherichia_coli,100-2,633.6576383113861,644.8674717903137,809.7467014789581,868.6026207447052
107,Escherichia_coli,100-4,649.0799520015717,644.8674717903137,872.8546130657196,868.6026207447052
108,Escherichia_coli,100-1,649.0887241363525,644.8674717903137,887.9223444461823,868.6026207447052
109,Escherichia_coli,100-3,661.594996213913,644.8674717903137,919.3752233982086,868.6026207447052
110,Escherichia_coli,150-2,1026.224818468094,1015.7620725154877,1396.710425376892,1538.7160996437074
111,Escherichia_coli,150-3,1021.2647552490234,1015.7620725154877,1480.538087129593,1538.7160996437074
112,Escherichia_coli,150-4,1001.1280615329742,1015.7620725154877,1810.1951513290403,1538.7160996437074
113,Escherichia_coli,150-5,1012.5402603149414,1015.7620725154877,1603.4499077796936,1538.7160996437074
114,Escherichia_coli,150-1,1017.6524670124054,1015.7620725154877,1402.6869266033173,1538.7160996437074
115,Escherichia_coli,200-5,1383.6895349025726,1413.4208546161651,2196.795553922653,2079.9663363933564
116,Escherichia_coli,200-1,1391.1162269115448,1413.4208546161651,2128.7988209724426,2079.9663363933564
117,Escherichia_coli,200-3,1415.8970019817352,1413.4208546161651,1920.5186820030208,2079.9663363933564
118,Escherichia_coli,200-2,1420.111358165741,1413.4208546161651,1996.5024259090424,2079.9663363933564
119,Escherichia_coli,200-4,1456.2901511192322,1413.4208546161651,2157.216199159622,2079.9663363933564
120,Escherichia_coli,250-3,1859.700794696808,1852.765916633606,2364.2343456745148,2529.1744763374327
121,Escherichia_coli,250-1,1859.4010109901428,1852.765916633606,2301.1458191871643,2529.1744763374327
122,Escherichia_coli,250-5,1864.110379934311,1852.765916633606,2633.0058150291443,2529.1744763374327
123,Escherichia_coli,250-2,1829.0834801197047,1852.765916633606,2556.01457953453,2529.1744763374327
124,Escherichia_coli,250-4,1851.533917427063,1852.765916633606,2791.4718222618103,2529.1744763374327
125,Escherichia_coli,300-1,2345.651132106781,2384.1824021339417,2592.4822945594788,2827.28629989624
126,Escherichia_coli,300-4,2374.855576276779,2384.1824021339417,2843.283831357956,2827.28629989624
127,Escherichia_coli,300-5,2374.856654405594,2384.1824021339417,3207.2942521572118,2827.28629989624
128,Escherichia_coli,300-2,2395.95449590683,2384.1824021339417,2638.564282655716,2827.28629989624
129,Escherichia_coli,300-3,2429.5941519737244,2384.1824021339417,2854.8068387508392,2827.28629989624
130,Escherichia_coli,350-5,2671.237792015076,2688.5951942920683,3121.631216287613,3173.462385082245
131,Escherichia_coli,350-4,2675.366791248321,2688.5951942920683,3085.68100643158,3173.462385082245
132,Escherichia_coli,350-3,2690.0079843997955,2688.5951942920683,3392.129341602325,3173.462385082245
133,Escherichia_coli,350-2,2702.074544906616,2688.5951942920683,3167.278151988983,3173.462385082245
134,Escherichia_coli,350-1,2704.288858890533,2688.5951942920683,3100.5922091007237,3173.462385082245
135,Escherichia_coli,400-4,2913.2428686618805,2887.480090427399,3716.281378030777,3480.24410238266
136,Escherichia_coli,400-2,2900.2289583683014,2887.480090427399,3340.6179609298706,3480.24410238266
137,Escherichia_coli,400-5,2870.589393854141,2887.480090427399,3712.83056807518,3480.24410238266
138,Escherichia_coli,400-1,2867.9114689826965,2887.480090427399,3249.805949449539,3480.24410238266
139,Escherichia_coli,400-3,2885.4277622699738,2887.480090427399,3381.6846554279327,3480.24410238266
140,Escherichia_coli,450-4,3015.607658863068,3041.5011835575106,3517.4123916625977,3644.5504648208616
141,Escherichia_coli,450-3,3021.8890311717987,3041.5011835575106,3588.8700959682465,3644.5504648208616
142,Escherichia_coli,450-2,3048.005353450775,3041.5011835575106,3723.7981317043295,3644.5504648208616
143,Escherichia_coli,450-1,3060.419893503189,3041.5011835575106,3576.576503276825,3644.5504648208616
144,Escherichia_coli,450-5,3061.5839807987213,3041.5011835575106,3816.0952014923096,3644.5504648208616
145,Escherichia_coli,500-4,3192.5095312595367,3182.2596588134766,3727.567288637161,3756.925859880447
146,Escherichia_coli,500-2,3162.496475458145,3182.2596588134766,3779.739985704422,3756.925859880447
147,Escherichia_coli,500-1,3177.1615965366364,3182.2596588134766,3686.6246314048767,3756.925859880447
148,Escherichia_coli,500-5,3180.9681482315063,3182.2596588134766,3773.7213866710654,3756.925859880447
149,Escherichia_coli,500-3,3198.1625425815582,3182.2596588134766,3816.976006984711,3756.925859880447
150,Pseudomonas_aeruginosa,50-4,230.68541502952576,241.6727891921997,341.3379256725311,346.52072563171384
151,Pseudomonas_aeruginosa,50-5,239.815171957016,241.6727891921997,348.0622313022613,346.52072563171384
152,Pseudomonas_aeruginosa,50-3,240.07841444015503,241.6727891921997,338.9548604488373,346.52072563171384
153,Pseudomonas_aeruginosa,50-1,248.69891619682312,241.6727891921997,356.1538753509521,346.52072563171384
154,Pseudomonas_aeruginosa,50-2,249.08602833747864,241.6727891921997,348.0947353839874,346.52072563171384
155,Pseudomonas_aeruginosa,100-1,469.4598662853241,493.00763792991637,710.9949231147766,883.3877643108368
156,Pseudomonas_aeruginosa,100-3,479.2418684959412,493.00763792991637,749.6427912712097,883.3877643108368
157,Pseudomonas_aeruginosa,100-5,494.0606060028076,493.00763792991637,1212.5447790622711,883.3877643108368
158,Pseudomonas_aeruginosa,100-2,509.3433861732483,493.00763792991637,678.8206737041473,883.3877643108368
159,Pseudomonas_aeruginosa,100-4,512.9324626922607,493.00763792991637,1064.9356544017792,883.3877643108368
160,Pseudomonas_aeruginosa,150-5,751.1475691795349,735.4016075611114,2105.7803547382355,1659.780945777893
161,Pseudomonas_aeruginosa,150-1,746.536388874054,735.4016075611114,1450.9530568122864,1659.780945777893
162,Pseudomonas_aeruginosa,150-2,717.5602777004242,735.4016075611114,1532.5335609912872,1659.780945777893
163,Pseudomonas_aeruginosa,150-4,719.7679159641266,735.4016075611114,1751.5053629875183,1659.780945777893
164,Pseudomonas_aeruginosa,150-3,741.9958860874176,735.4016075611114,1458.132393360138,1659.780945777893
165,Pseudomonas_aeruginosa,200-3,1095.0214557647705,1110.0118097782135,1848.740124464035,1960.8882858753204
166,Pseudomonas_aeruginosa,200-4,1107.146766424179,1110.0118097782135,1951.4603142738345,1960.8882858753204
167,Pseudomonas_aeruginosa,200-5,1107.146956205368,1110.0118097782135,2007.1681339740755,1960.8882858753204
